import time: self [us] | cumulative | imported package
import time:        66 |         66 | winreg
import time:       128 |        128 |   _io
import time:        22 |         22 |   marshal
import time:       111 |        111 |   nt
import time:       489 |        749 | _frozen_importlib_external
import time:        42 |         42 |   time
import time:       159 |        200 | zipimport
import time:        36 |         36 |     _codecs
import time:       340 |        376 |   codecs
import time:      1006 |       1006 |   encodings.aliases
import time:      1558 |       2939 | encodings
import time:       501 |        501 | encodings.utf_8
import time:        28 |         28 |   _codecs_cn
import time:        28 |         28 |   _multibytecodec
import time:       579 |        634 | encodings.gbk
import time:        25 |         25 | _signal
import time:        18 |         18 |     _abc
import time:       120 |        138 |   abc
import time:       104 |        242 | io
import time:        35 |         35 |       _stat
import time:        76 |        111 |     stat
import time:       544 |        544 |     _collections_abc
import time:        45 |         45 |       genericpath
import time:        53 |         53 |       _winapi
import time:       162 |        259 |     ntpath
import time:       412 |       1324 |   os
import time:        53 |         53 |   _sitebuiltins
import time:       549 |        549 |   encodings.utf_8_sig
import time:      1555 |       1555 |   _distutils_hack
import time:       729 |        729 |   types
import time:       709 |        709 |     importlib
import time:       822 |        822 |     importlib._abc
import time:       139 |       1668 |   importlib.util
import time:        37 |         37 |   importlib.machinery
import time:       369 |        369 |   sitecustomize
import time:       337 |        337 |   usercustomize
import time:      2311 |       8927 | site
import time:       216 |        216 |       itertools
import time:       889 |        889 |       keyword
import time:        50 |         50 |         _operator
import time:       865 |        914 |       operator
import time:       796 |        796 |       reprlib
import time:        46 |         46 |       _collections
import time:      1210 |       4070 |     collections
import time:       816 |        816 |       concurrent
import time:        52 |         52 |                 _functools
import time:      1338 |       1390 |               functools
import time:      1693 |       3083 |             enum
import time:        48 |         48 |               _sre
import time:       853 |        853 |                 re._constants
import time:       898 |       1750 |               re._parser
import time:       710 |        710 |               re._casefix
import time:      1237 |       3745 |             re._compiler
import time:       951 |        951 |             copyreg
import time:      1213 |       8990 |           re
import time:       951 |        951 |             linecache
import time:      1309 |       1309 |             textwrap
import time:      1111 |       1111 |             warnings
import time:      1229 |       1229 |             contextlib
import time:      1006 |       1006 |             _colorize
import time:      1324 |       6928 |           traceback
import time:       937 |        937 |             _weakrefset
import time:      1167 |       2103 |           weakref
import time:        32 |         32 |             _string
import time:      1143 |       1174 |           string
import time:      1101 |       1101 |           threading
import time:        30 |         30 |           atexit
import time:      1773 |      22097 |         logging
import time:      1086 |      23182 |       concurrent.futures._base
import time:      1046 |      25044 |     concurrent.futures
import time:        41 |         41 |     errno
import time:        34 |         34 |       _heapq
import time:       797 |        830 |     heapq
import time:      2961 |       2961 |       _socket
import time:        52 |         52 |         math
import time:       923 |        923 |         select
import time:      1158 |       2132 |       selectors
import time:      1263 |       6356 |     socket
import time:       564 |        564 |       fcntl
import time:        34 |         34 |       msvcrt
import time:      1218 |       1816 |     subprocess
import time:      2983 |       2983 |       _ssl
import time:        67 |         67 |           _struct
import time:       818 |        885 |         struct
import time:        50 |         50 |         binascii
import time:       942 |       1876 |       base64
import time:      2304 |       7162 |     ssl
import time:       834 |        834 |     asyncio.constants
import time:       741 |        741 |           _ast
import time:      1448 |       2188 |         ast
import time:        39 |         39 |             _opcode
import time:      1031 |       1031 |             _opcode_metadata
import time:      1206 |       2275 |           opcode
import time:      1490 |       3765 |         dis
import time:      1036 |       1036 |           token
import time:        32 |         32 |           _tokenize
import time:      1350 |       2417 |         tokenize
import time:      2034 |      10403 |       inspect
import time:       698 |      11101 |     asyncio.coroutines
import time:        31 |         31 |         _contextvars
import time:       824 |        854 |       contextvars
import time:      1077 |       1077 |       signal
import time:       747 |        747 |       asyncio.format_helpers
import time:       628 |        628 |         asyncio.base_futures
import time:       730 |        730 |         asyncio.exceptions
import time:       678 |        678 |         asyncio.base_tasks
import time:      1055 |       3089 |       _asyncio
import time:      1037 |       6802 |     asyncio.events
import time:       818 |        818 |     asyncio.futures
import time:       712 |        712 |     asyncio.protocols
import time:       686 |        686 |       asyncio.transports
import time:       898 |        898 |       asyncio.log
import time:       945 |       2529 |     asyncio.sslproto
import time:       635 |        635 |         asyncio.mixins
import time:       816 |       1450 |       asyncio.locks
import time:       842 |        842 |         asyncio.queues
import time:        34 |         34 |             _typing
import time:      2605 |       2638 |           typing
import time:      1158 |       3795 |         asyncio.timeouts
import time:       893 |       5530 |       asyncio.tasks
import time:       682 |       7662 |     asyncio.staggered
import time:       673 |        673 |     asyncio.trsock
import time:      1390 |      77832 |   asyncio.base_events
import time:       648 |        648 |   asyncio.runners
import time:       667 |        667 |   asyncio.streams
import time:       563 |        563 |   asyncio.subprocess
import time:       515 |        515 |   asyncio.taskgroups
import time:       468 |        468 |   asyncio.threads
import time:      1519 |       1519 |     _overlapped
import time:       667 |        667 |     asyncio.base_subprocess
import time:      2131 |       2131 |     asyncio.proactor_events
import time:       861 |        861 |     asyncio.selector_events
import time:       760 |        760 |               posix
import time:       639 |        639 |               posix
import time:       152 |       1551 |             posixpath
import time:      1119 |       2669 |           fnmatch
import time:        55 |         55 |           zlib
import time:      1091 |       1091 |             _compression
import time:      1014 |       1014 |             _bz2
import time:      1053 |       3157 |           bz2
import time:      1303 |       1303 |             _lzma
import time:      1228 |       2531 |           lzma
import time:      1229 |       9640 |         shutil
import time:        32 |         32 |             _bisect
import time:       897 |        928 |           bisect
import time:        23 |         23 |           _random
import time:      1124 |       2074 |         random
import time:      1127 |      12840 |       tempfile
import time:       636 |      13475 |     asyncio.windows_utils
import time:       930 |      19581 |   asyncio.windows_events
import time:      1155 |     101425 | asyncio
import time:        36 |         36 |       _json
import time:       665 |        701 |     json.scanner
import time:       883 |       1583 |   json.decoder
import time:       635 |        635 |   json.encoder
import time:       768 |       2985 | json
import time:       800 |        800 |   _uuid
import time:       807 |       1607 | uuid
import time:        71 |         71 |   _datetime
import time:       637 |        708 | datetime
import time:       952 |        952 |   starlette
import time:       724 |        724 |     __future__
import time:      1114 |       1838 |   starlette.status
import time:      1052 |       1052 |       annotated_doc.main
import time:      1083 |       2135 |     annotated_doc
import time:       908 |        908 |         email
import time:       853 |        853 |         quopri
import time:       998 |        998 |             urllib
import time:      1771 |       1771 |             ipaddress
import time:      1827 |       4594 |           urllib.parse
import time:       932 |        932 |           email._parseaddr
import time:       878 |       6404 |         email.utils
import time:       971 |        971 |         email.errors
import time:       753 |        753 |             email.quoprimime
import time:       734 |        734 |             email.base64mime
import time:       861 |        861 |               email.encoders
import time:       896 |       1757 |             email.charset
import time:       977 |       4221 |           email.header
import time:       860 |       5080 |         email._policybase
import time:       723 |        723 |         email._encoded_words
import time:       630 |        630 |         email.iterators
import time:      1514 |      17081 |       email.message
import time:      1114 |       1114 |           anyio._core
import time:      1222 |       1222 |             sniffio._version
import time:       780 |        780 |             sniffio._impl
import time:      1301 |       3302 |           sniffio
import time:      1013 |       5428 |         anyio._core._eventloop
import time:       692 |        692 |         anyio._core._exceptions
import time:      1201 |       1201 |               glob
import time:      1315 |       2516 |             pathlib._abc
import time:       752 |        752 |               pwd
import time:       678 |        678 |               grp
import time:      1022 |       2451 |             pathlib._local
import time:      1163 |       6129 |           pathlib
import time:      1097 |       1097 |             copy
import time:      1321 |       2417 |           dataclasses
import time:      1364 |       1364 |               anyio.abc._eventloop
import time:       798 |        798 |               anyio.abc._resources
import time:       841 |        841 |                 anyio._core._typedattr
import time:       877 |        877 |                   anyio.abc._tasks
import time:      1094 |       1970 |                 anyio.abc._streams
import time:      1157 |       3967 |               anyio.abc._sockets
import time:      1277 |       1277 |               anyio.abc._subprocesses
import time:       795 |        795 |               anyio.abc._testing
import time:      1293 |       1293 |                 anyio.lowlevel
import time:       980 |        980 |                 anyio._core._tasks
import time:       956 |        956 |                 anyio._core._testing
import time:      2722 |       5949 |               anyio._core._synchronization
import time:      1543 |       1543 |               anyio.from_thread
import time:      1096 |      16785 |             anyio.abc
import time:       942 |      17727 |           anyio.to_thread
import time:      1197 |      27469 |         anyio._core._fileio
import time:       643 |        643 |         anyio._core._resources
import time:       582 |        582 |         anyio._core._signals
import time:       933 |        933 |             anyio.streams
import time:      1596 |       2529 |           anyio.streams.stapled
import time:      1153 |       1153 |           anyio.streams.tls
import time:       872 |       4553 |         anyio._core._sockets
import time:      1744 |       1744 |           anyio.streams.memory
import time:       714 |       2457 |         anyio._core._streams
import time:       714 |        714 |         anyio._core._subprocesses
import time:       772 |        772 |         anyio._core._tempfile
import time:      1839 |      45148 |       anyio
import time:      1935 |       1935 |                   pydantic_core._pydantic_core
import time:      1497 |       1497 |                         numbers
import time:      1518 |       3015 |                       _decimal
import time:      1294 |       4308 |                     decimal
import time:      2569 |       2569 |                     typing_extensions
import time:      6451 |      13327 |                   pydantic_core.core_schema
import time:      1925 |      17187 |                 pydantic_core
import time:       763 |      17949 |               pydantic.version
import time:      1214 |      19163 |             pydantic._migration
import time:      1496 |       1496 |                 typing_inspection
import time:      1683 |       1683 |                 typing_inspection.typing_objects
import time:      1614 |       4792 |               typing_inspection.introspection
import time:       917 |        917 |               pydantic._internal
import time:      1079 |       1079 |                   pydantic._internal._namespace_utils
import time:      1272 |       2351 |                 pydantic._internal._typing_extra
import time:      1309 |       3659 |               pydantic._internal._repr
import time:      1033 |      10400 |             pydantic.errors
import time:      1429 |      30991 |           pydantic
import time:       811 |        811 |               pydantic._internal._internal_dataclass
import time:      1388 |       2198 |             pydantic.aliases
import time:      1339 |       1339 |             pydantic.config
import time:       892 |       4428 |           pydantic._internal._config
import time:       862 |        862 |             pydantic._internal._core_utils
import time:       844 |        844 |               pydantic._internal._import_utils
import time:      1639 |       2482 |             pydantic._internal._utils
import time:      3190 |       6533 |           pydantic._internal._decorators
import time:      1483 |       1483 |               pydantic._internal._forward_ref
import time:      1535 |       3017 |             pydantic._internal._generics
import time:       928 |        928 |             pydantic._internal._docs_extraction
import time:      1009 |       4954 |           pydantic._internal._fields
import time:      1256 |       1256 |               pydantic.plugin
import time:      1435 |       2690 |             pydantic.plugin._schema_validator
import time:      1163 |       3853 |           pydantic._internal._mock_val_ser
import time:      2498 |       2498 |               fractions
import time:      2927 |       2927 |                   sysconfig
import time:        35 |         35 |                   _sysconfig
import time:      3021 |       5981 |                 zoneinfo._tzpath
import time:       914 |        914 |                 zoneinfo._common
import time:      1464 |       1464 |                 _zoneinfo
import time:      1760 |      10117 |               zoneinfo
import time:       894 |        894 |               pydantic.annotated_handlers
import time:      2822 |       2822 |               pydantic.functional_validators
import time:      1028 |       1028 |                 pydantic._internal._core_metadata
import time:      1523 |       1523 |                 pydantic._internal._schema_generation_shared
import time:      2253 |       4804 |               pydantic.json_schema
import time:      1183 |       1183 |               pydantic._internal._discriminated_union
import time:      1100 |       1100 |               pydantic._internal._known_annotated_metadata
import time:      1413 |       1413 |               pydantic._internal._schema_gather
import time:      2098 |      26926 |             pydantic._internal._generate_schema
import time:       906 |        906 |             pydantic._internal._signature
import time:      1027 |      28857 |           pydantic._internal._model_construction
import time:      1829 |       1829 |             http
import time:       809 |       2638 |           starlette.exceptions
import time:      7550 |       7550 |             annotated_types
import time:      1001 |       1001 |             pydantic._internal._validators
import time:      4283 |       4283 |             pydantic.types
import time:      2137 |      14969 |           pydantic.fields
import time:      1586 |       1586 |                   zipfile._path.glob
import time:      1848 |       3434 |                 zipfile._path
import time:      1674 |       5108 |               zipfile
import time:      1510 |       1510 |               importlib.metadata._meta
import time:      1171 |       1171 |               importlib.metadata._collections
import time:       921 |        921 |               importlib.metadata._functools
import time:       885 |        885 |               importlib.metadata._itertools
import time:      1066 |       1066 |                     importlib.resources.abc
import time:      1502 |       2567 |                   importlib.resources._common
import time:       896 |        896 |                   importlib.resources._functional
import time:      1195 |       4657 |                 importlib.resources
import time:      1435 |       6091 |               importlib.abc
import time:      1607 |      17290 |             importlib.metadata
import time:       992 |      18281 |           pydantic.plugin._loader
import time:     16432 |     131933 |         fastapi.exceptions
import time:       896 |        896 |           fastapi.openapi
import time:       803 |        803 |               fastapi.types
import time:      1308 |       1308 |                 shlex
import time:       872 |        872 |                 starlette.concurrency
import time:       854 |        854 |                 starlette.types
import time:      1823 |       4856 |               starlette.datastructures
import time:      1425 |       7083 |             fastapi._compat.shared
import time:       796 |        796 |               fastapi.openapi.constants
import time:      2646 |       3441 |             fastapi._compat.v2
import time:      1183 |      11707 |           fastapi._compat
import time:       758 |        758 |           fastapi.logger
import time:       728 |        728 |           email_validator
import time:     49844 |      63931 |         fastapi.openapi.models
import time:      1337 |       1337 |         fastapi.datastructures
import time:      2321 |     199521 |       fastapi.params
import time:       886 |        886 |         fastapi.dependencies
import time:       765 |        765 |               fastapi.security.base
import time:      2024 |       2024 |                 http.cookies
import time:      1030 |       1030 |                 starlette._utils
import time:      1010 |       1010 |                         python_multipart.exceptions
import time:      1056 |       2066 |                       python_multipart.decoders
import time:      2382 |       4447 |                     python_multipart.multipart
import time:      2175 |       6621 |                   python_multipart
import time:      1824 |       8445 |                 starlette.formparsers
import time:      1246 |      12743 |               starlette.requests
import time:      1349 |      14857 |             fastapi.security.api_key
import time:       774 |        774 |               fastapi.security.utils
import time:      1606 |       2380 |             fastapi.security.http
import time:      1664 |       1664 |               fastapi.param_functions
import time:      1273 |       2937 |             fastapi.security.oauth2
import time:       859 |        859 |             fastapi.security.open_id_connect_url
import time:      1070 |      22102 |           fastapi.security
import time:        43 |      22144 |         fastapi.security.base
